Method,PID Length,Elasped Time,Hash Elapsed,Sign Elapsed,Encr Elapsed,Decr Elapsed,Veri Elapsed
Full,0,0.03872,2e-06,0.00134,0.013554,0.02352,0.000304
Full,1,0.05661399999999999,4e-06,0.001425,0.019929,0.034933,0.000323
Full,2,0.074768,1e-06,0.001083,0.027209,0.046238,0.000237
Full,3,0.089854,1e-06,0.001102,0.032113,0.056399,0.000239
Full,4,0.113225,1e-06,0.001215,0.038844,0.072761,0.000404
Full,5,0.135431,2e-06,0.001227,0.049597,0.084361,0.000244
Full,6,0.147649,1e-06,0.001122,0.052099,0.094182,0.000245
Full,7,0.16502699999999998,1e-06,0.001117,0.058862,0.104806,0.000241
Full,8,0.183357,1e-06,0.001,0.065937,0.116185,0.000234
Full,9,0.20378100000000002,1e-06,0.001107,0.073526,0.128841,0.000306
Full,10,0.22743200000000002,1e-06,0.001027,0.079555,0.146534,0.000315
Full,11,0.250177,1e-06,0.000979,0.092496,0.156431,0.00027
Full,12,0.27799199999999996,4e-06,0.001249,0.094793,0.181632,0.000314
Full,13,0.28869100000000003,6e-06,0.001242,0.105728,0.181431,0.000284
Full,14,0.307318,4e-06,0.001145,0.110048,0.19584,0.000281
Full,15,0.328078,2e-06,0.001073,0.118244,0.208496,0.000263
Full,16,0.35509,3e-06,0.001192,0.133075,0.220553,0.000267
Full,17,0.36974999999999997,3e-06,0.001966,0.132261,0.23525,0.00027
Full,18,0.389036,3e-06,0.001129,0.139319,0.24832,0.000265
Full,19,0.40986399999999995,3e-06,0.001079,0.148044,0.260474,0.000264
Full,20,0.432996,2e-06,0.001091,0.154581,0.277054,0.000268
Full,21,0.451101,2e-06,0.001177,0.161789,0.287867,0.000266
Full,22,0.47510900000000006,2e-06,0.001093,0.172615,0.301119,0.00028
Full,23,0.49252100000000004,4e-06,0.001106,0.176677,0.314461,0.000273
Full,24,0.515541,4e-06,0.000975,0.18381,0.330481,0.000271
Full,25,0.532914,4e-06,0.001083,0.190713,0.340846,0.000268
Full,26,0.561534,4e-06,0.002726,0.202362,0.35617,0.000272
Full,27,0.5795220000000001,4e-06,0.001189,0.208281,0.369773,0.000275
Full,28,0.5986389999999999,4e-06,0.001064,0.216387,0.380911,0.000273
Full,29,0.619182,4e-06,0.001073,0.22196,0.395874,0.000271
Full,30,0.63727,4e-06,0.001008,0.229012,0.406979,0.000267
Full,31,0.6567130000000001,4e-06,0.001007,0.237468,0.417962,0.000272
Full,32,0.677913,3e-06,0.001087,0.244457,0.432102,0.000264
Full,33,0.6984329999999999,3e-06,0.000941,0.251756,0.445449,0.000284
Full,34,0.7227250000000001,3e-06,0.000981,0.263736,0.457743,0.000262
Full,35,0.747736,3e-06,0.001137,0.266093,0.480236,0.000267
Full,36,0.736523,4e-06,0.001852,0.265929,0.468456,0.000282
Full,37,0.7832340000000001,4e-06,0.001137,0.283527,0.498298,0.000268
Full,38,0.776033,4e-06,0.001887,0.281597,0.49228,0.000265
Full,39,0.814994,4e-06,0.003015,0.2885,0.523184,0.000291
Full,40,0.828006,5e-06,0.001354,0.304068,0.522315,0.000264
Full,41,0.838022,4e-06,0.001058,0.302294,0.534399,0.000267
