Method,PID Length,Elasped Time (sec)
NTRU,0,0.118435
NTRU,1,0.142327
NTRU,2,0.178467
NTRU,3,0.216653
NTRU,4,0.253249
NTRU,5,0.301691
NTRU,6,0.326501
NTRU,7,0.362441
NTRU,8,0.40133
NTRU,9,0.438941
NTRU,10,0.478512
NTRU,11,0.517792
NTRU,12,0.552895
NTRU,13,0.597452
NTRU,14,0.636125
NTRU,15,0.673629
NTRU,16,0.712833
NTRU,17,0.75657
NTRU,18,0.796368
NTRU,19,0.837525
NTRU,20,0.899634
NTRU,21,0.921443
NTRU,22,0.95273
NTRU,23,0.991396
NTRU,24,1.03141
NTRU,25,1.070541
NTRU,26,1.144352
NTRU,27,1.163312
NTRU,28,1.18437
NTRU,29,1.221286
NTRU,30,1.264465
NTRU,31,1.305369
NTRU,32,1.340509
NTRU,33,1.382121
NTRU,34,1.426253
NTRU,35,1.465923
NTRU,36,1.502761
NTRU,37,1.552532
NTRU,38,1.582497
NTRU,39,1.623508
NTRU,40,1.660613
NTRU,41,1.698966
NTRU,42,1.737802
NTRU,43,1.869506
NTRU,44,1.843779
NTRU,45,1.885967
NTRU,46,1.913569
NTRU,47,1.950807
NTRU,48,1.985768
NTRU,49,2.018668
NTRU,50,2.064461
NTRU,51,2.086944
NTRU,52,2.139356
NTRU,53,2.167703
NTRU,54,2.225793
NTRU,55,2.260998
NTRU,56,2.294347
NTRU,57,2.330397
NTRU,58,2.377752
NTRU,59,2.401379
NTRU,60,2.445457
NTRU,61,2.539459
NTRU,62,2.538957
NTRU,63,2.572433
NTRU,64,2.596355
NTRU,65,2.723756
NTRU,66,2.684141
NTRU,67,2.724679
NTRU,68,2.768825
NTRU,69,2.799166
NTRU,70,2.838801
NTRU,71,2.879484
NTRU,72,2.916089
NTRU,73,2.960761
NTRU,74,3.00143
NTRU,75,3.032807
NTRU,76,3.085067
NTRU,77,3.117123
NTRU,78,3.157401
NTRU,79,3.295432
NTRU,80,3.242867
NTRU,81,3.267171
NTRU,82,3.30929
NTRU,83,3.352527
NTRU,84,3.409098
NTRU,85,3.448314
NTRU,86,3.480796
NTRU,87,3.504894
NTRU,88,3.548072
NTRU,89,3.595005
NTRU,90,3.640908
NTRU,91,3.743984
NTRU,92,3.717234
NTRU,93,3.733473
NTRU,94,3.788644
NTRU,95,3.824854
NTRU,96,3.846955
NTRU,97,3.903165
NTRU,98,3.953964
NTRU,99,3.985597
NTRU,100,4.029752
