Method,PID Length,Elasped Time (sec)
NTRU,0,0.04614
NTRU,1,0.042191
NTRU,2,0.049376
NTRU,3,0.059569
NTRU,4,0.069354
NTRU,5,0.078819
NTRU,6,0.08851
NTRU,7,0.10106
NTRU,8,0.110054
NTRU,9,0.119639
NTRU,10,0.127613
NTRU,11,0.138863
NTRU,12,0.148367
NTRU,13,0.163267
NTRU,14,0.170218
NTRU,15,0.183032
NTRU,16,0.192528
NTRU,17,0.203029
NTRU,18,0.215314
NTRU,19,0.226845
NTRU,20,0.238897
NTRU,21,0.23954
NTRU,22,0.249237
NTRU,23,0.265268
NTRU,24,0.279407
NTRU,25,0.27746
NTRU,26,0.285266
NTRU,27,0.299618
NTRU,28,0.316252
NTRU,29,0.326711
NTRU,30,0.329637
NTRU,31,0.340081
NTRU,32,0.350414
NTRU,33,0.360562
NTRU,34,0.369264
NTRU,35,0.379632
NTRU,36,0.390883
NTRU,37,0.401725
NTRU,38,0.412925
NTRU,39,0.423788
NTRU,40,0.438101
NTRU,41,0.451635
NTRU,42,0.457701
NTRU,43,0.465875
NTRU,44,0.556443
NTRU,45,0.482056
NTRU,46,0.496428
NTRU,47,0.507734
NTRU,48,0.518223
NTRU,49,0.52479
NTRU,50,0.535194
NTRU,51,0.547316
NTRU,52,0.558277
NTRU,53,0.566366
NTRU,54,0.577193
NTRU,55,0.588515
NTRU,56,0.596396
NTRU,57,0.605339
NTRU,58,0.618412
NTRU,59,0.625668
NTRU,60,0.636272
NTRU,61,0.64904
NTRU,62,0.662094
NTRU,63,0.669184
NTRU,64,0.679071
NTRU,65,0.690259
NTRU,66,0.699495
NTRU,67,0.713625
NTRU,68,0.718725
NTRU,69,0.734678
NTRU,70,0.812016
NTRU,71,0.750162
NTRU,72,0.760589
NTRU,73,0.769984
NTRU,74,0.777517
NTRU,75,0.807704
NTRU,76,0.811435
NTRU,77,0.823543
NTRU,78,0.828264
NTRU,79,0.832006
NTRU,80,0.845368
NTRU,81,0.859075
NTRU,82,0.87239
NTRU,83,0.873982
NTRU,84,0.88452
NTRU,85,0.898129
NTRU,86,0.977372
NTRU,87,0.916538
NTRU,88,0.937849
NTRU,89,0.939497
NTRU,90,0.944956
NTRU,91,0.967587
NTRU,92,1.006742
NTRU,93,0.987272
NTRU,94,0.99639
NTRU,95,0.999072
NTRU,96,1.012027
NTRU,97,1.093619
NTRU,98,1.033953
NTRU,99,1.03832
NTRU,100,1.06093
