,Method,PID Length,Server Elapsed Time,Collector Elapsed Time
0,SHA3-256,0,56,74
1,SHA3-384,0,51,76
2,SHA3-512,0,35,69
3,SHA3-256,1,33,70
4,SHA3-384,1,33,67
5,SHA3-512,1,46,66
6,SHA3-256,2,34,68
7,SHA3-384,2,34,67
8,SHA3-512,2,37,76
9,SHA3-256,3,34,69
10,SHA3-384,3,24,67
11,SHA3-512,3,26,73
12,SHA3-256,4,24,69
13,SHA3-384,4,24,70
14,SHA3-512,4,27,75
15,SHA3-256,5,25,70
16,SHA3-384,5,26,73
17,SHA3-512,5,26,86
18,SHA3-256,6,24,74
19,SHA3-384,6,27,77
20,SHA3-512,6,26,77
21,SHA3-256,7,27,78
22,SHA3-384,7,26,80
23,SHA3-512,7,25,81
24,SHA3-256,8,25,79
25,SHA3-384,8,25,78
26,SHA3-512,8,25,79
27,SHA3-256,9,25,79
28,SHA3-384,9,25,79
29,SHA3-512,9,25,80
30,SHA3-256,10,25,80
31,SHA3-384,10,25,87
32,SHA3-512,10,26,88
33,SHA3-256,11,25,126
34,SHA3-384,11,35,84
35,SHA3-512,11,26,82
36,SHA3-256,12,25,83
37,SHA3-384,12,26,83
38,SHA3-512,12,26,84
39,SHA3-256,13,25,79
40,SHA3-384,13,25,82
41,SHA3-512,13,26,86
42,SHA3-256,14,25,82
43,SHA3-384,14,26,84
44,SHA3-512,14,27,89
45,SHA3-256,15,26,85
46,SHA3-384,15,26,92
47,SHA3-512,15,27,89
48,SHA3-256,16,29,89
49,SHA3-384,16,26,86
50,SHA3-512,16,26,93
51,SHA3-256,17,25,90
52,SHA3-384,17,25,86
53,SHA3-512,17,54,91
54,SHA3-256,18,27,86
55,SHA3-384,18,25,87
56,SHA3-512,18,26,93
57,SHA3-256,19,25,87
58,SHA3-384,19,26,90
59,SHA3-512,19,26,92
60,SHA3-256,20,30,88
61,SHA3-384,20,30,95
62,SHA3-512,20,26,93
63,SHA3-256,21,26,88
64,SHA3-384,21,26,93
65,SHA3-512,21,27,98
66,SHA3-256,22,46,91
67,SHA3-384,22,30,95
68,SHA3-512,22,28,99
69,SHA3-256,23,26,90
70,SHA3-384,23,26,107
71,SHA3-512,23,27,104
72,SHA3-256,24,29,96
73,SHA3-384,24,30,98
74,SHA3-512,24,40,98
75,SHA3-256,25,27,96
76,SHA3-384,25,27,98
77,SHA3-512,25,28,100
78,SHA3-256,26,27,94
79,SHA3-384,26,31,97
80,SHA3-512,26,32,102
81,SHA3-256,27,46,123
82,SHA3-384,27,31,97
83,SHA3-512,27,32,103
84,SHA3-256,28,32,97
85,SHA3-384,28,31,100
86,SHA3-512,28,33,105
87,SHA3-256,29,28,99
88,SHA3-384,29,28,102
89,SHA3-512,29,30,104
90,SHA3-256,30,32,100
91,SHA3-384,30,32,103
92,SHA3-512,30,35,108
93,SHA3-256,31,31,100
94,SHA3-384,31,31,105
95,SHA3-512,31,32,110
96,SHA3-256,32,30,104
97,SHA3-384,32,31,106
98,SHA3-512,32,36,170
99,SHA3-256,33,30,118
100,SHA3-384,33,31,113
101,SHA3-512,33,36,114
102,SHA3-256,34,34,105
103,SHA3-384,34,31,110
104,SHA3-512,34,36,118
105,SHA3-256,35,31,108
106,SHA3-384,35,31,108
107,SHA3-512,35,32,116
108,SHA3-256,36,31,107
109,SHA3-384,36,31,112
110,SHA3-512,36,37,119
111,SHA3-256,37,35,152
112,SHA3-384,37,31,113
113,SHA3-512,37,32,117
114,SHA3-256,38,31,109
115,SHA3-384,38,31,114
116,SHA3-512,38,33,117
117,SHA3-256,39,35,112
118,SHA3-384,39,32,138
119,SHA3-512,39,33,123
120,SHA3-256,40,30,110
121,SHA3-384,40,31,116
122,SHA3-512,40,33,118
123,SHA3-256,41,35,113
124,SHA3-384,41,36,113
125,SHA3-512,41,33,165
126,SHA3-256,42,31,115
127,SHA3-384,42,32,116
128,SHA3-512,42,33,126
129,SHA3-256,43,31,114
130,SHA3-384,43,36,116
131,SHA3-512,43,34,125
132,SHA3-256,44,32,114
133,SHA3-384,44,32,116
134,SHA3-512,44,34,128
135,SHA3-256,45,31,134
136,SHA3-384,45,37,119
137,SHA3-512,45,39,125
138,SHA3-256,46,32,117
139,SHA3-384,46,33,120
140,SHA3-512,46,34,128
141,SHA3-256,47,32,118
142,SHA3-384,47,33,128
143,SHA3-512,47,39,129
144,SHA3-256,48,32,137
145,SHA3-384,48,33,123
146,SHA3-512,48,35,135
147,SHA3-256,49,33,121
148,SHA3-384,49,34,122
149,SHA3-512,49,41,142
150,SHA3-256,50,38,123
151,SHA3-384,50,34,132
152,SHA3-512,50,36,135
153,SHA3-256,51,33,141
154,SHA3-384,51,35,132
155,SHA3-512,51,36,142
156,SHA3-256,52,34,125
157,SHA3-384,52,35,148
158,SHA3-512,52,37,137
159,SHA3-256,53,34,141
160,SHA3-384,53,39,154
161,SHA3-512,53,42,136
162,SHA3-256,54,35,122
163,SHA3-384,54,35,147
164,SHA3-512,54,37,136
165,SHA3-256,55,35,123
166,SHA3-384,55,35,127
167,SHA3-512,55,38,136
168,SHA3-256,56,35,120
169,SHA3-384,56,36,128
170,SHA3-512,56,54,138
171,SHA3-256,57,39,143
172,SHA3-384,57,37,133
173,SHA3-512,57,39,177
174,SHA3-256,58,36,126
175,SHA3-384,58,37,129
176,SHA3-512,58,39,141
177,SHA3-256,59,36,145
178,SHA3-384,59,37,131
179,SHA3-512,59,39,142
180,SHA3-256,60,36,126
181,SHA3-384,60,37,132
182,SHA3-512,60,39,142
183,SHA3-256,61,37,154
184,SHA3-384,61,38,152
185,SHA3-512,61,40,142
186,SHA3-256,62,37,129
187,SHA3-384,62,38,134
188,SHA3-512,62,40,163
189,SHA3-256,63,37,150
190,SHA3-384,63,39,137
191,SHA3-512,63,40,146
192,SHA3-256,64,37,130
193,SHA3-384,64,39,161
194,SHA3-512,64,40,169
195,SHA3-256,65,38,133
196,SHA3-384,65,39,141
197,SHA3-512,65,41,149
198,SHA3-256,66,38,137
199,SHA3-384,66,40,141
200,SHA3-512,66,42,151
201,SHA3-256,67,38,137
202,SHA3-384,67,45,213
203,SHA3-512,67,48,163
204,SHA3-256,68,44,141
205,SHA3-384,68,45,143
206,SHA3-512,68,49,154
207,SHA3-256,69,45,158
208,SHA3-384,69,47,143
209,SHA3-512,69,48,192
210,SHA3-256,70,44,138
211,SHA3-384,70,47,149
212,SHA3-512,70,49,176
213,SHA3-256,71,45,140
214,SHA3-384,71,46,147
215,SHA3-512,71,49,157
216,SHA3-256,72,45,139
217,SHA3-384,72,46,143
218,SHA3-512,72,49,155
219,SHA3-256,73,45,146
220,SHA3-384,73,46,146
221,SHA3-512,73,50,162
222,SHA3-256,74,45,140
223,SHA3-384,74,47,145
224,SHA3-512,74,50,160
225,SHA3-256,75,46,156
226,SHA3-384,75,47,150
227,SHA3-512,75,50,181
228,SHA3-256,76,46,147
229,SHA3-384,76,48,153
230,SHA3-512,76,51,160
231,SHA3-256,77,47,143
232,SHA3-384,77,48,153
233,SHA3-512,77,51,164
234,SHA3-256,78,47,151
235,SHA3-384,78,49,152
236,SHA3-512,78,52,164
237,SHA3-256,79,47,175
238,SHA3-384,79,49,199
239,SHA3-512,79,52,173
240,SHA3-256,80,47,150
241,SHA3-384,80,49,153
242,SHA3-512,80,52,164
243,SHA3-256,81,47,147
244,SHA3-384,81,49,173
245,SHA3-512,81,52,167
246,SHA3-256,82,47,147
247,SHA3-384,82,49,156
248,SHA3-512,82,53,169
249,SHA3-256,83,58,175
250,SHA3-384,83,44,155
251,SHA3-512,83,46,210
252,SHA3-256,84,48,151
253,SHA3-384,84,50,173
254,SHA3-512,84,53,168
255,SHA3-256,85,49,150
256,SHA3-384,85,44,185
257,SHA3-512,85,47,172
258,SHA3-256,86,43,194
259,SHA3-384,86,45,158
260,SHA3-512,86,54,171
261,SHA3-256,87,49,151
262,SHA3-384,87,45,180
263,SHA3-512,87,48,172
264,SHA3-256,88,44,151
265,SHA3-384,88,46,157
266,SHA3-512,88,48,176
267,SHA3-256,89,50,154
268,SHA3-384,89,45,163
269,SHA3-512,89,49,177
270,SHA3-256,90,44,155
271,SHA3-384,90,46,163
272,SHA3-512,90,49,177
273,SHA3-256,91,50,152
274,SHA3-384,91,46,167
275,SHA3-512,91,49,176
276,SHA3-256,92,44,159
277,SHA3-384,92,46,163
278,SHA3-512,92,49,176
279,SHA3-256,93,51,157
280,SHA3-384,93,53,209
281,SHA3-512,93,49,180
282,SHA3-256,94,44,159
283,SHA3-384,94,53,165
284,SHA3-512,94,50,182
285,SHA3-256,95,51,157
286,SHA3-384,95,53,163
287,SHA3-512,95,50,179
288,SHA3-256,96,45,156
289,SHA3-384,96,48,168
290,SHA3-512,96,50,183
291,SHA3-256,97,68,159
292,SHA3-384,97,54,170
293,SHA3-512,97,51,185
294,SHA3-256,98,45,165
295,SHA3-384,98,48,187
296,SHA3-512,98,51,190
297,SHA3-256,99,46,166
298,SHA3-384,99,55,172
299,SHA3-512,99,51,193
300,SHA3-256,100,47,165
301,SHA3-384,100,49,171
302,SHA3-512,100,52,230
