,Method,PID Length,Elasped Time (µs)
0,SHA3-256,0,74
1,SHA3-384,0,76
2,SHA3-512,0,69
3,SHA3-256,1,70
4,SHA3-384,1,67
5,SHA3-512,1,66
6,SHA3-256,2,68
7,SHA3-384,2,67
8,SHA3-512,2,76
9,SHA3-256,3,69
10,SHA3-384,3,67
11,SHA3-512,3,73
12,SHA3-256,4,69
13,SHA3-384,4,70
14,SHA3-512,4,75
15,SHA3-256,5,70
16,SHA3-384,5,73
17,SHA3-512,5,86
18,SHA3-256,6,74
19,SHA3-384,6,77
20,SHA3-512,6,77
21,SHA3-256,7,78
22,SHA3-384,7,80
23,SHA3-512,7,81
24,SHA3-256,8,79
25,SHA3-384,8,78
26,SHA3-512,8,79
27,SHA3-256,9,79
28,SHA3-384,9,79
29,SHA3-512,9,80
30,SHA3-256,10,80
31,SHA3-384,10,87
32,SHA3-512,10,88
33,SHA3-256,11,126
34,SHA3-384,11,84
35,SHA3-512,11,82
36,SHA3-256,12,83
37,SHA3-384,12,83
38,SHA3-512,12,84
39,SHA3-256,13,79
40,SHA3-384,13,82
41,SHA3-512,13,86
42,SHA3-256,14,82
43,SHA3-384,14,84
44,SHA3-512,14,89
45,SHA3-256,15,85
46,SHA3-384,15,92
47,SHA3-512,15,89
48,SHA3-256,16,89
49,SHA3-384,16,86
50,SHA3-512,16,93
51,SHA3-256,17,90
52,SHA3-384,17,86
53,SHA3-512,17,91
54,SHA3-256,18,86
55,SHA3-384,18,87
56,SHA3-512,18,93
57,SHA3-256,19,87
58,SHA3-384,19,90
59,SHA3-512,19,92
60,SHA3-256,20,88
61,SHA3-384,20,95
62,SHA3-512,20,93
63,SHA3-256,21,88
64,SHA3-384,21,93
65,SHA3-512,21,98
66,SHA3-256,22,91
67,SHA3-384,22,95
68,SHA3-512,22,99
69,SHA3-256,23,90
70,SHA3-384,23,107
71,SHA3-512,23,104
72,SHA3-256,24,96
73,SHA3-384,24,98
74,SHA3-512,24,98
75,SHA3-256,25,96
76,SHA3-384,25,98
77,SHA3-512,25,100
78,SHA3-256,26,94
79,SHA3-384,26,97
80,SHA3-512,26,102
81,SHA3-256,27,123
82,SHA3-384,27,97
83,SHA3-512,27,103
84,SHA3-256,28,97
85,SHA3-384,28,100
86,SHA3-512,28,105
87,SHA3-256,29,99
88,SHA3-384,29,102
89,SHA3-512,29,104
90,SHA3-256,30,100
91,SHA3-384,30,103
92,SHA3-512,30,108
93,SHA3-256,31,100
94,SHA3-384,31,105
95,SHA3-512,31,110
96,SHA3-256,32,104
97,SHA3-384,32,106
98,SHA3-512,32,170
99,SHA3-256,33,118
100,SHA3-384,33,113
101,SHA3-512,33,114
102,SHA3-256,34,105
103,SHA3-384,34,110
104,SHA3-512,34,118
105,SHA3-256,35,108
106,SHA3-384,35,108
107,SHA3-512,35,116
108,SHA3-256,36,107
109,SHA3-384,36,112
110,SHA3-512,36,119
111,SHA3-256,37,152
112,SHA3-384,37,113
113,SHA3-512,37,117
114,SHA3-256,38,109
115,SHA3-384,38,114
116,SHA3-512,38,117
117,SHA3-256,39,112
118,SHA3-384,39,138
119,SHA3-512,39,123
120,SHA3-256,40,110
121,SHA3-384,40,116
122,SHA3-512,40,118
123,SHA3-256,41,113
124,SHA3-384,41,113
125,SHA3-512,41,165
126,SHA3-256,42,115
127,SHA3-384,42,116
128,SHA3-512,42,126
129,SHA3-256,43,114
130,SHA3-384,43,116
131,SHA3-512,43,125
132,SHA3-256,44,114
133,SHA3-384,44,116
134,SHA3-512,44,128
135,SHA3-256,45,134
136,SHA3-384,45,119
137,SHA3-512,45,125
138,SHA3-256,46,117
139,SHA3-384,46,120
140,SHA3-512,46,128
141,SHA3-256,47,118
142,SHA3-384,47,128
143,SHA3-512,47,129
144,SHA3-256,48,137
145,SHA3-384,48,123
146,SHA3-512,48,135
147,SHA3-256,49,121
148,SHA3-384,49,122
149,SHA3-512,49,142
150,SHA3-256,50,123
151,SHA3-384,50,132
152,SHA3-512,50,135
153,SHA3-256,51,141
154,SHA3-384,51,132
155,SHA3-512,51,142
156,SHA3-256,52,125
157,SHA3-384,52,148
158,SHA3-512,52,137
159,SHA3-256,53,141
160,SHA3-384,53,154
161,SHA3-512,53,136
162,SHA3-256,54,122
163,SHA3-384,54,147
164,SHA3-512,54,136
165,SHA3-256,55,123
166,SHA3-384,55,127
167,SHA3-512,55,136
168,SHA3-256,56,120
169,SHA3-384,56,128
170,SHA3-512,56,138
171,SHA3-256,57,143
172,SHA3-384,57,133
173,SHA3-512,57,177
174,SHA3-256,58,126
175,SHA3-384,58,129
176,SHA3-512,58,141
177,SHA3-256,59,145
178,SHA3-384,59,131
179,SHA3-512,59,142
180,SHA3-256,60,126
181,SHA3-384,60,132
182,SHA3-512,60,142
183,SHA3-256,61,154
184,SHA3-384,61,152
185,SHA3-512,61,142
186,SHA3-256,62,129
187,SHA3-384,62,134
188,SHA3-512,62,163
189,SHA3-256,63,150
190,SHA3-384,63,137
191,SHA3-512,63,146
192,SHA3-256,64,130
193,SHA3-384,64,161
194,SHA3-512,64,169
195,SHA3-256,65,133
196,SHA3-384,65,141
197,SHA3-512,65,149
198,SHA3-256,66,137
199,SHA3-384,66,141
200,SHA3-512,66,151
201,SHA3-256,67,137
202,SHA3-384,67,213
203,SHA3-512,67,163
204,SHA3-256,68,141
205,SHA3-384,68,143
206,SHA3-512,68,154
207,SHA3-256,69,158
208,SHA3-384,69,143
209,SHA3-512,69,192
210,SHA3-256,70,138
211,SHA3-384,70,149
212,SHA3-512,70,176
213,SHA3-256,71,140
214,SHA3-384,71,147
215,SHA3-512,71,157
216,SHA3-256,72,139
217,SHA3-384,72,143
218,SHA3-512,72,155
219,SHA3-256,73,146
220,SHA3-384,73,146
221,SHA3-512,73,162
222,SHA3-256,74,140
223,SHA3-384,74,145
224,SHA3-512,74,160
225,SHA3-256,75,156
226,SHA3-384,75,150
227,SHA3-512,75,181
228,SHA3-256,76,147
229,SHA3-384,76,153
230,SHA3-512,76,160
231,SHA3-256,77,143
232,SHA3-384,77,153
233,SHA3-512,77,164
234,SHA3-256,78,151
235,SHA3-384,78,152
236,SHA3-512,78,164
237,SHA3-256,79,175
238,SHA3-384,79,199
239,SHA3-512,79,173
240,SHA3-256,80,150
241,SHA3-384,80,153
242,SHA3-512,80,164
243,SHA3-256,81,147
244,SHA3-384,81,173
245,SHA3-512,81,167
246,SHA3-256,82,147
247,SHA3-384,82,156
248,SHA3-512,82,169
249,SHA3-256,83,175
250,SHA3-384,83,155
251,SHA3-512,83,210
252,SHA3-256,84,151
253,SHA3-384,84,173
254,SHA3-512,84,168
255,SHA3-256,85,150
256,SHA3-384,85,185
257,SHA3-512,85,172
258,SHA3-256,86,194
259,SHA3-384,86,158
260,SHA3-512,86,171
261,SHA3-256,87,151
262,SHA3-384,87,180
263,SHA3-512,87,172
264,SHA3-256,88,151
265,SHA3-384,88,157
266,SHA3-512,88,176
267,SHA3-256,89,154
268,SHA3-384,89,163
269,SHA3-512,89,177
270,SHA3-256,90,155
271,SHA3-384,90,163
272,SHA3-512,90,177
273,SHA3-256,91,152
274,SHA3-384,91,167
275,SHA3-512,91,176
276,SHA3-256,92,159
277,SHA3-384,92,163
278,SHA3-512,92,176
279,SHA3-256,93,157
280,SHA3-384,93,209
281,SHA3-512,93,180
282,SHA3-256,94,159
283,SHA3-384,94,165
284,SHA3-512,94,182
285,SHA3-256,95,157
286,SHA3-384,95,163
287,SHA3-512,95,179
288,SHA3-256,96,156
289,SHA3-384,96,168
290,SHA3-512,96,183
291,SHA3-256,97,159
292,SHA3-384,97,170
293,SHA3-512,97,185
294,SHA3-256,98,165
295,SHA3-384,98,187
296,SHA3-512,98,190
297,SHA3-256,99,166
298,SHA3-384,99,172
299,SHA3-512,99,193
300,SHA3-256,100,165
301,SHA3-384,100,171
302,SHA3-512,100,230
