,Method,PID Length,Elasped Time (µs)
0,SHA3-256,0,56
1,SHA3-384,0,51
2,SHA3-512,0,35
3,SHA3-256,1,33
4,SHA3-384,1,33
5,SHA3-512,1,46
6,SHA3-256,2,34
7,SHA3-384,2,34
8,SHA3-512,2,37
9,SHA3-256,3,34
10,SHA3-384,3,24
11,SHA3-512,3,26
12,SHA3-256,4,24
13,SHA3-384,4,24
14,SHA3-512,4,27
15,SHA3-256,5,25
16,SHA3-384,5,26
17,SHA3-512,5,26
18,SHA3-256,6,24
19,SHA3-384,6,27
20,SHA3-512,6,26
21,SHA3-256,7,27
22,SHA3-384,7,26
23,SHA3-512,7,25
24,SHA3-256,8,25
25,SHA3-384,8,25
26,SHA3-512,8,25
27,SHA3-256,9,25
28,SHA3-384,9,25
29,SHA3-512,9,25
30,SHA3-256,10,25
31,SHA3-384,10,25
32,SHA3-512,10,26
33,SHA3-256,11,25
34,SHA3-384,11,35
35,SHA3-512,11,26
36,SHA3-256,12,25
37,SHA3-384,12,26
38,SHA3-512,12,26
39,SHA3-256,13,25
40,SHA3-384,13,25
41,SHA3-512,13,26
42,SHA3-256,14,25
43,SHA3-384,14,26
44,SHA3-512,14,27
45,SHA3-256,15,26
46,SHA3-384,15,26
47,SHA3-512,15,27
48,SHA3-256,16,29
49,SHA3-384,16,26
50,SHA3-512,16,26
51,SHA3-256,17,25
52,SHA3-384,17,25
53,SHA3-512,17,54
54,SHA3-256,18,27
55,SHA3-384,18,25
56,SHA3-512,18,26
57,SHA3-256,19,25
58,SHA3-384,19,26
59,SHA3-512,19,26
60,SHA3-256,20,30
61,SHA3-384,20,30
62,SHA3-512,20,26
63,SHA3-256,21,26
64,SHA3-384,21,26
65,SHA3-512,21,27
66,SHA3-256,22,46
67,SHA3-384,22,30
68,SHA3-512,22,28
69,SHA3-256,23,26
70,SHA3-384,23,26
71,SHA3-512,23,27
72,SHA3-256,24,29
73,SHA3-384,24,30
74,SHA3-512,24,40
75,SHA3-256,25,27
76,SHA3-384,25,27
77,SHA3-512,25,28
78,SHA3-256,26,27
79,SHA3-384,26,31
80,SHA3-512,26,32
81,SHA3-256,27,46
82,SHA3-384,27,31
83,SHA3-512,27,32
84,SHA3-256,28,32
85,SHA3-384,28,31
86,SHA3-512,28,33
87,SHA3-256,29,28
88,SHA3-384,29,28
89,SHA3-512,29,30
90,SHA3-256,30,32
91,SHA3-384,30,32
92,SHA3-512,30,35
93,SHA3-256,31,31
94,SHA3-384,31,31
95,SHA3-512,31,32
96,SHA3-256,32,30
97,SHA3-384,32,31
98,SHA3-512,32,36
99,SHA3-256,33,30
100,SHA3-384,33,31
101,SHA3-512,33,36
102,SHA3-256,34,34
103,SHA3-384,34,31
104,SHA3-512,34,36
